108554,1278.67
12065,957.69
163323,480.08
170502,989.54
177560,1691.56
18675,1139.81
18985,1198.85
193379,757.04
203512,1731.24
204689,764.8
209766,1362.25
221416,1302.6
222808,275.33
22520,1851.15
226986,67.48
233085,289.57
254179,1335.9
281220,914.32
297579,1496.47
302370,881.5
304317,1508.09
307462,117.83
308055,1965.3
308637,1097.0
320221,1547.58
339599,1294.66
347089,1824.44
35706,128.02
357204,1205.27
367483,1599.34
370601,1776.46
396520,853.1
402098,1039.98
424978,1948.72
4310,994.67
445057,47.46
455515,1447.49
461791,464.04
464456,1034.14
471800,162.13
476542,550.57
483374,725.01
486655,428.68
494514,1446.49
501971,1577.69
51524,72.07
517684,1683.96
520722,953.75
529933,774.44
548709,135.09
549538,460.84
575163,1013.22
577591,31.95
600668,231.57
63569,1170.24
64060,1518.49
645394,1909.92
649816,592.04
661871,151.4
678250,610.2
688085,857.2
689004,725.82
698261,1156.57
709443,1287.98
710826,255.5
719106,1223.47
742028,1319.16
751899,290.32
762420,1108.71
769783,697.1
771752,1488.76
789636,333.73
790040,824.75
80277,661.91
811060,1952.58
82405,356.04
827826,1617.34
830340,649.31
8401,1444.55
842219,633.39
855595,1675.35
878638,428.18
881616,1033.06
891341,1293.96
894781,1157.43
897606,1146.89
89988,1815.7
902533,1628.47
904181,1663.68
90518,231.33
916624,1458.96
938606,285.33
940429,1737.83
943916,930.27
944403,974.52
948223,1366.83
966623,903.16
986940,146.03
991085,724.74
